husband,0.12799945182846822
use,0.05565904487636182
park,0.0449228828862933
nearly,0.029991301270403975
years,0.01537463168606407
kevin,0.012775733930347182
world,0.011199052969072188
mission,0.00984306343290918
future,0.009580257687191025
forces,0.009014781130555653
captain,0.009007684865300881
humanity,0.00899007027744152
harry,0.007525372214649641
becomes,0.007274840195650591
alien,0.0071583009025761365
theres,0.0069921183868448585
wanted,0.006933738741004921
london,0.006546727118049471
earth,0.006531787411610636
must,0.006338628983580173
love,0.006273158671607974
jack,0.006226287817447483
man,0.005759910082129322
vampire,0.005601773754875203
turned,0.005541094873237861
working,0.0051134011028761955
criminal,0.004933243070939143
peter,0.004915301501302526
leaves,0.004782248567721089
pull,0.004524701831656291
video,0.00436218994462207
act,0.004323680255051049
powerful,0.004251206010541953
rule,0.004249826103852737
fight,0.0041767054899690915
theyre,0.004143374555252972
one,0.003938370614424901
life,0.003919330385653399
prison,0.0038518050813537786
city,0.0038355737645397675
worlds,0.0037577293413327767
final,0.003737456412535741
armed,0.0037267664733654296
government,0.003692165611758803
new,0.0036754386721741875
enemy,0.0036092100348761253
help,0.0035676128871694377
lord,0.0035015965893258074
hes,0.003489078035556546
stay,0.003484492723738274
ring,0.003284025737759562
epic,0.0032128575332046306
warrior,0.0030840237175721727
way,0.003067916660406882
skills,0.0030634943052957764
edward,0.0030366254771827758
organization,0.003009426888380577
unlikely,0.003005264231297097
white,0.003005241757438711
named,0.0029543941259752224
ship,0.0029512398908548383
path,0.002936623624812377
snow,0.0029280255808079698
finds,0.002893601291111974
time,0.0027595857637195682
back,0.002731381876590423
young,0.002729617496913951
sea,0.0026591048374593894
ultimate,0.0026219731772172015
might,0.002607254825744785
tells,0.0025572990451006306
every,0.0025397604873860025
home,0.0025387397079090863
huge,0.0025117232827849374
things,0.0024251361429867705
human,0.0023989989147059267
john,0.0023974602004230875
planet,0.0023863457299675606
task,0.002359134330788802
effort,0.0023498327300511745
grows,0.0023215213021505823
bond,0.0023176901786778
family,0.002316933784886703
agent,0.002292615903757411
mysterious,0.0022688021824886087
entire,0.0022620646516608956
find,0.0022344434693594107
heroes,0.0022030641738492573
following,0.00218451360350984
return,0.0021476645376820773
ten,0.0021403881732067085
desperate,0.0021202909055061145
fears,0.002105125153521316
two,0.0020985820891231046
defeat,0.00204177808469169
america,0.0020051818795015844
past,0.001987255901955865
seeks,0.0019693250734514134
legendary,0.001953419208181394
put,0.001924309117512114
battle,0.0018784312179326219
former,0.0018719915795920178
terrible,0.0018685449967179347
soon,0.001854999940406522
lives,0.0018485572095738013
true,0.0018444510949309108
survive,0.001842318487517046
journey,0.0018287817109943105
story,0.0017822853463039252
storm,0.0017682847593204834
dangerous,0.001747551790778464
university,0.0017408687012122792
may,0.0017246061240764304
hero,0.0017235295144448128
secrets,0.0017008664414161732
room,0.001699336015711214
cop,0.001687884859540447
side,0.0016542547022623244
plot,0.0016375845385546467
crime,0.0016014014010612711
another,0.0015987936011354561
dragon,0.001594682994746652
police,0.0015888325346091162
including,0.0015852792766662127
beyond,0.001580092300308425
first,0.001572224499633329
ruthless,0.0015640349497357143
team,0.0015566919328317637
leader,0.0015217947276704006
danny,0.0015173922839988464
needs,0.0015101632920934557
everything,0.0015007451254560663
however,0.001471903422406415
thought,0.0014706283369024299
save,0.0014631486041986766
really,0.0014411656204874415
kidnapped,0.0014305023199981189
members,0.0014044875798543775
go,0.0013993893044400166
bank,0.0013836249920240987
take,0.0013818057343881335
closer,0.0013691030986294325
war,0.0013671712400504374
partner,0.0013540599994350396
death,0.0013399299916839222
us,0.0013382860193072578
cross,0.001331615852563026
alone,0.0013233597156845837
plan,0.0013049002924458953
nothing,0.0013019578189994965
supernatural,0.0013018561391473808
become,0.0012986461919380187
force,0.0012821038298683118
magic,0.0012731447370385785
cia,0.0012722006169010355
innocent,0.0012698621404346145
despite,0.001260875786581977
set,0.0012464555022831268
princess,0.001245640856368014
forced,0.0012450163926091163
classic,0.001234922700211271
across,0.0012345732583158866
days,0.0012316184800639563
machine,0.001229374611446323
finally,0.001225957607801447
son,0.0012196799136415019
pilot,0.0012170667758990604
nuclear,0.0012153433427187284
also,0.0012060886578629468
prince,0.0012015599998160137
brutal,0.0012005144390372592
stop,0.001194618005418232
prove,0.0011902004079687595
father,0.0011866348189870943
real,0.0011851887753927517
begins,0.001183528240016536
target,0.001176943463013802
three,0.001170472944107549
far,0.0011643563382978128
daughter,0.0011616958736828896
street,0.0011571668067989651
land,0.001154066204438167
seek,0.0011326461751839326
case,0.0011276553884242428
evil,0.0011196669980184965
learns,0.001114201490045767
takes,0.0011084808753624238
sam,0.0011029115841227097
fellow,0.0010972108820487634
woman,0.0010963543659553792
film,0.0010945873561150697
seemingly,0.0010781486759365946
parents,0.0010689501170848617
begin,0.0010679014318148825
taken,0.0010592047259289363
encounters,0.0010424255458250462
trying,0.0010335045648876171
uncover,0.0010254140494277424
work,0.0010204924290934945
dead,0.001019304682146446
peace,0.0010080689969738893
get,0.0010067087541282165
school,0.0010050049219685476
terrifying,0.0010022501364761274
decides,0.0009990064410737853
creatures,0.0009795193493069804
discovers,0.0009761015056153745
old,0.0009716487416464796
others,0.0009621130309767384
series,0.0009608485818755825
whos,0.0009601148739916689
citys,0.0009599489392298627
place,0.00095943687325468
protect,0.000957952821317622
leading,0.0009565004046448597
corporate,0.0009529188985972983
space,0.000952084969123262
problem,0.0009399614754134137
quest,0.0009357166916428208
change,0.0009287664468182483
race,0.0009237485422409978
unexpectedly,0.0009126908760204554
survival,0.000910569737082758
isnt,0.0008994153346889643
